id,title,artist,genre,duration,album,year
1,APT.,ROSÉ & Bruno Mars,K-Pop,02:49,,
2,The Fate of Ophelia,Taylor Swift,Pop,03:46,The Life of a Showgirl,
3,Homewrecker,sombr,Indie Pop,03:29,Homewrecker,
4,I Just Might,Bruno Mars,Pop,03:32,I Just Might,
5,Ordinary,Alex Warren,Pop,03:06,You'll Be Alright,
6,Raindance (feat. Tems),Dave & Tems,Hip-Hop,03:39,,
7,WHERE IS MY HUSBAND!,RAYE,Pop,03:17,WHERE IS MY HUSBAND!,
8,Manchild,Sabrina Carpenter,Pop,03:33,Manchild,
9,Sapphire,Ed Sheeran,Pop,02:59,Sapphire,
10,POP DAT THANG,DaBaby,Hip-Hop,02:18,POP DAT THANG,
11,Stateside + Zara Larsson,PinkPantheress & Zara Larsson,Pop,03:04,,
12,back to friends,sombr,Indie Pop,03:19,back to friends,
13,Might Just,Ella Mai,R&B,03:43,Do You Still Love Me?,
14,NUEVAYoL,Bad Bunny,Reggaeton,03:03,DeBÍ TiRAR MáS FOToS,
15,So Easy (To Fall In Love),Olivia Dean,Pop,02:49,The Art of Loving,
16,Man I Need,Olivia Dean,Pop,03:04,The Art of Loving,
17,Bad Dreams,Teddy Swims,Pop,03:04,Passeggiata in centro,2024
18,Abracadabra,Lady Gaga,Pop,03:43,Abracadabra,
19,luther (with sza),Kendrick Lamar & SZA,Hip-Hop,02:57,,
20,CHANEL,Tyla,Afrobeats,03:08,CHANEL,
21,Opalite,Taylor Swift,Pop,03:55,The Life of a Showgirl,
22,That's So True,Gracie Abrams,Indie Pop,02:46,The Secret of Us (Deluxe),
23,EYES CLOSED (with ZAYN),JISOO & ZAYN,K-Pop,03:01,,
24,bittersweet,Madison Beer,Pop,03:22,bittersweet,
25,Midnight Sun,Zara Larsson,Pop,03:09,Midnight Sun,
26,YUKON,Justin Bieber,Pop,02:43,SWAG,
27,Taste,Sabrina Carpenter,Pop,02:37,Short n' Sweet,
28,Love Again,MIRA,Manele,02:46,Love Again,
29,Just Keep Watching (From F1® The Movie),Tate McRae & F1 The Album,Pop,02:22,,
30,Tears,Sabrina Carpenter,Pop,02:40,Man's Best Friend,
31,ExtraL (feat. Doechii),JENNIE & Doechii,K-Pop,02:47,,
32,DAISIES,Justin Bieber,Pop,02:56,SWAG,
33,number one girl,ROSÉ,K-Pop,03:36,number one girl,
34,Born Again (feat. Doja Cat & RAYE),LISA & Doja Cat & RAYE,K-Pop,,,
35,The Dead Dance,Lady Gaga,Pop,03:48,MAYHEM,
36,toxic till the end,ROSÉ,K-Pop,02:36,rosie,
37,Mystical Magical,Benson Boone,Pop,02:45,Mystical Magical,
38,Eternity,Alex Warren,Pop,03:09,You'll Be Alright Kid,
39,squabble up,Kendrick Lamar,Hip-Hop,02:37,GNX,
40,Sports car,Tate McRae,Pop,02:45,Sports car,
41,Zombie,YUNGBLUD,Rock,04:06,Zombie,
42,Beautiful People,David Guetta & Sia,EDM,03:07,,
43,Fame is a Gun,Addison Rae,Pop,03:03,Fame is a Gun,
44,Revolving door,Tate McRae,Pop,03:00,So Close To What,
45,The Subway,Chappell Roan,Indie Pop,04:12,The Subway,
46,Cry For Me,The Weeknd,R&B,03:44,Hurry Up Tomorrow,
47,Azizam,Ed Sheeran,Pop,02:42,Azizam,
48,you ready?,Nettspend,Hip-Hop,02:28,early life crisis,
49,It's ok I'm ok,Tate McRae,Pop,02:36,It's ok I'm ok,
50,her,JVKE,Pop,02:51,her,
51,Mantra,JENNIE,K-Pop,02:16,Mantra,
52,With You,Dean Lewis,Pop,03:09,With You,
53,masked up (feat. YoungBoy Never Broke Again), Nettspend & YoungBoy Never Broke Again,Hip-Hop,02:16,,
54,End of the World,Miley Cyrus,Pop,04:10,End of the World,
55,twilight zone,Ariana Grande,Pop,03:18,eternal sunshine deluxe,
56,Nice To Each Other,Olivia Dean,Pop,03:29,Nice To Each Other,
57,NOKIA,Drake,Hip-Hop,04:01,$ome $exy $ongs 4 U,
58,Illegal,PinkPantheress,Pop,02:29,Fancy That,
59,New Heart,Crash Adams,Pop,03:04,New Heart,
60,Disease,Lady Gaga,Pop,03:49,Disease,
61,When Did You Get Hot?,Sabrina Carpenter,Pop,02:25,Man's Best Friend,
62,Handlebars (feat. Dua Lipa),JENNIE & Dua Lipa,K-Pop,03:04,,
63,Soft Spot,keshi,R&B,03:24,Requiem,
64,intro (end of the world) - extended,Ariana Grande,Pop,02:41,eternal sunshine deluxe,
65,Gone Gone Gone,David Guetta & Teddy Swims & Tones And I,EDM,,,
66,Anxiety,Doechii,Hip-Hop,04:09,Anxiety,
67,Father Figure,Taylor Swift,Pop,03:32,The Life of a Showgirl,
68,Ring Ring,MIRA,Manele,02:30,Ring Ring,
69,Nice To Meet You,Myles Smith,Pop,02:56,A Minute...,
70,Nobody's Son,Sabrina Carpenter,Pop,03:02,Man's Best Friend,
71,Elizabeth Taylor,Taylor Swift,Pop,03:28,The Life of a Showgirl,
72,Wi$h Li$t,Taylor Swift,Pop,03:27,The Life of a Showgirl,
73,Busy Woman,Sabrina Carpenter,Pop,03:06,Short n' Sweet (Deluxe),
74,Flower Moon,Durand Jones & The Indications & Aaron Frazer,R&B,04:56,,
75,Siren sounds (bonus),Tate McRae,Pop,03:03,So Close To What,
76,PUSH 2 START,Tyla,Afrobeats,02:36,TYLA +,
77,A COLD PLAY,The Kid LAROI,Pop,02:59,A COLD PLAY,
78,Jealous Type,Doja Cat,Hip-Hop,02:43,Jealous Type,
79,Born With a Broken Heart,Damiano David,Rock,03:28,Born With a Broken Heart,
80,Ma Meilleure Ennemie ft. Coldplay,Stromae & Pomme & Coldplay,Pop,,,
81,8:00 PM,Armanii & Malie Donn,Dancehall,02:46,,
82,Blue Strips,Jessie Murph,Indie Pop,02:27,Blue Strips,
83,Ladida,MIRA,Manele,03:03,Ladida,
84,DIE TRYING,PARTYNEXTDOOR & Drake & Yebba,R&B,,,
85,Juno,Sabrina Carpenter,Pop,03:43,Short n' Sweet,
86,No Broke Boys,Disco Lines & Tinashe,R&B,02:43,,
87,Bed Chem,Sabrina Carpenter,Pop,02:51,Short n' Sweet,
88,Sorry I'm Here For Someone Else,Benson Boone,Pop,02:36,Sorry I'm Here For Someone Else,
89,Wood,Taylor Swift,Pop,02:30,The Life of a Showgirl,
90,Holy Blindfold,Chris Brown,R&B,02:50,Holy Blindfold,
91,meant to be,bbno$,Pop,02:50,meant to be,
92,SPEED DEMON,Justin Bieber,Pop,03:31,SWAG II,
93,Survive,Lewis Capaldi,Pop,03:45,Survive,
94,A Little More,Ed Sheeran,Pop,03:12,A Little More,
95,Family Matters,Skye Newman,Pop,02:57,Family Matters,
96,cliché,mgk,Rock,02:56,cliché,
97,WALKING AWAY,Justin Bieber,Pop,04:04,SWAG,
98,Duro,MIRA,Manele,02:47,Duro,
99,Amen,Shaboozey & Jelly Roll,Country,03:17,,
100,Gorgeous,Doja Cat,Hip-Hop,04:26,Vie,
